Name;Type;Notes;Quantity;Price per item [PLN]; Total price [PLN]
10x2mm-magnet;;asd;4;;
17hs4023-stepper-motor;;;2;;
17hs8401-stepper-motor;;;1;;
5x8mm-flexible-coupler;;;1;;
base-left-side;;;1;;
base-right-side;;;1;;
base-top;;;1;;
bd-microlance-3-26g-needle;;;1;;
ceramic-tape-insert-40x2mm;;;1;;
gt2-20t-5mm-driver-pulley;;;2;;
gt2-20t-5mm-idle-pulley;;;3;;
gt2-brass-clip;;;4;;
heater-module-8mm-linear-shaft;;;2;;
heater-module-base;;asd;1;;
heater-module-cap;;;1;;
heater-module-gt2-timing-belt;;;1;;
heater-module-lw980-heater-tray;;;1;;
heater-module-mounting;;;1;;
heater-module-tray-cap;;;1;;
heater-module-tray-carriage;;;1;;
heater-module-tray-carriage-belt-cap;;;1;;
heater-module-tray-carriage-cap;;;1;;
lm8uu-45mm-linear-bearing;;;2;;
lm8uu-linear-bearing;;;4;;
lw980-ceramic-heater;;;1;;
m2-hex-nut;;;15;;
m2x14-cap-screw;;;7;;
m2x20-cap-screw;;;22;;
m3-square-nut;;;26;;
m3-washer;;;4;;
m3x20-round-screw;;;2;;
m3x25-countersink-screw;;;14;;
m3x25-round-screw;;;6;;
m3x30-countersink-screw;;;16;;
m3x40-countersink-screw;;;4;;
m5-square-nut;;;5;;
m5x10-countersink-screw;;;8;;
m5x25-round-screw;;;1;;
m5x70-countersink-screw;;;4;;
m5x8-round-screw;;;8;;
pololu-3042-dc-motor;;;1;;
rotation-module-mounting;;;1;;
rotation-module-mounting-bracket;;;1;;
tr8x2-anti-backlash-nut;;;1;;
v-slot-2020x200mm;;;2;;
v-slot-2060x250mm;;;2;;
v-slot-5mm-t-nut;;;10;;
v-slot-90-deg-bracket;;;4;;
wk1-01-limit-switch;;;4;;
x-axis-8mm-linear-shaft;;;2;;
x-axis-carriage;;;1;;
x-axis-carriage-cap;;;1;;
x-axis-end;;;1;;
x-axis-gt2-timing-belt;;;1;;
x-axis-motor-mounting;;;1;;
z-axis-8mm-linear-shaft;;;2;;
z-axis-carriage;;;1;;
z-axis-carriage-bearing-cap;;;2;;
z-axis-shafts-mounting;;;1;;
z-axis-tr8x2-lead-screw;;;1;;
